entity_name,year,quarter,subquestion,worker_category,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
AFFIN BANK BERHAD,2025,Quarter 4,B(ii) Non-Malaysian: Non-Permanent Resident,Clerical Occupations,,,,,,,,,,0.0,0.0,0.0
AFFIN BANK BERHAD,2025,Quarter 4,B(ii) Non-Malaysian: Non-Permanent Resident,Elementary Occupations,,,,,,,,,,0.0,0.0,0.0
AFFIN BANK BERHAD,2025,Quarter 4,B(ii) Non-Malaysian: Non-Permanent Resident,Managers,,,,,,,,,,1.0,1.0,1.0
AFFIN BANK BERHAD,2025,Quarter 4,B(ii) Non-Malaysian: Non-Permanent Resident,Operative Workers,,,,,,,,,,0.0,0.0,0.0
AFFIN BANK BERHAD,2025,Quarter 4,B(ii) Non-Malaysian: Non-Permanent Resident,Professional,,,,,,,,,,5.0,5.0,5.0
AFFIN BANK BERHAD,2025,Quarter 4,B(ii) Non-Malaysian: Non-Permanent Resident,TOTAL Non-Malaysian: Non-Permanent Resident,,,,,,,,,,6.0,6.0,6.0
AFFIN BANK BERHAD,2025,Quarter 4,B(ii) Non-Malaysian: Non-Permanent Resident,Technicians & Associate Professionals,,,,,,,,,,0.0,0.0,0.0
AFFIN BANK BERHAD,2025,Quarter 4,Employment = A + B(i) + B(ii),Clerical Occupations,,,,,,,,,,1006.0,1005.0,1004.0
AFFIN BANK BERHAD,2025,Quarter 4,Employment = A + B(i) + B(ii),Elementary Occupations,,,,,,,,,,57.0,57.0,57.0
AFFIN BANK BERHAD,2025,Quarter 4,Employment = A + B(i) + B(ii),Managers,,,,,,,,,,1875.0,1870.0,1855.0
AFFIN BANK BERHAD,2025,Quarter 4,Employment = A + B(i) + B(ii),Operative Workers,,,,,,,,,,0.0,0.0,0.0
AFFIN BANK BERHAD,2025,Quarter 4,Employment = A + B(i) + B(ii),Professional,,,,,,,,,,3144.0,3131.0,3105.0
AFFIN BANK BERHAD,2025,Quarter 4,Employment = A + B(i) + B(ii),TOTAL Employment,,,,,,,,,,10099.0,10042.0,9981.0
AFFIN BANK BERHAD,2025,Quarter 4,Employment = A + B(i) + B(ii),TOTAL Employment: Of which: Shared Islamic Job Function,,,,,,,,,,0.0,0.0,0.0
AFFIN BANK BERHAD,2025,Quarter 4,Employment = A + B(i) + B(ii),Technicians & Associate Professionals,,,,,,,,,,4017.0,3979.0,3960.0
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,A. Malaysian,Clerical Occupations,43.0,43.0,43.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,A. Malaysian,Elementary Occupations,13.0,12.0,12.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,A. Malaysian,Managers,14.0,13.0,12.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,A. Malaysian,Operative Workers,0.0,0.0,0.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,A. Malaysian,Professional,2.0,2.0,2.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,A. Malaysian,TOTAL Malaysian,434.0,432.0,431.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,A. Malaysian,Technicians & Associate Professionals,362.0,362.0,362.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,B(i) Non-Malaysian: Permanent Resident,Clerical Occupations,0.0,0.0,0.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,B(i) Non-Malaysian: Permanent Resident,Elementary Occupations,0.0,0.0,0.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,B(i) Non-Malaysian: Permanent Resident,Managers,0.0,0.0,0.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,B(i) Non-Malaysian: Permanent Resident,Operative Workers,0.0,0.0,0.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,B(i) Non-Malaysian: Permanent Resident,Professional,0.0,0.0,0.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,B(i) Non-Malaysian: Permanent Resident,TOTAL Non-Malaysian: Permanent Resident,0.0,0.0,0.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,B(i) Non-Malaysian: Permanent Resident,Technicians & Associate Professionals,0.0,0.0,0.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,B(ii) Non-Malaysian: Non-Permanent Resident,Clerical Occupations,0.0,0.0,0.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,B(ii) Non-Malaysian: Non-Permanent Resident,Elementary Occupations,0.0,0.0,0.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,B(ii) Non-Malaysian: Non-Permanent Resident,Managers,0.0,0.0,0.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,B(ii) Non-Malaysian: Non-Permanent Resident,Operative Workers,0.0,0.0,0.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,B(ii) Non-Malaysian: Non-Permanent Resident,Professional,0.0,0.0,0.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,B(ii) Non-Malaysian: Non-Permanent Resident,TOTAL Non-Malaysian: Non-Permanent Resident,2.0,1.0,1.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,B(ii) Non-Malaysian: Non-Permanent Resident,Technicians & Associate Professionals,2.0,1.0,1.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,Employment = A + B(i) + B(ii),Clerical Occupations,43.0,43.0,43.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,Employment = A + B(i) + B(ii),Elementary Occupations,13.0,12.0,12.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,Employment = A + B(i) + B(ii),Managers,14.0,13.0,12.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,Employment = A + B(i) + B(ii),Operative Workers,0.0,0.0,0.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,Employment = A + B(i) + B(ii),Professional,2.0,2.0,2.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,Employment = A + B(i) + B(ii),TOTAL Employment,436.0,433.0,432.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,Employment = A + B(i) + B(ii),TOTAL Employment: Of which: Shared Islamic Job Function,0.0,0.0,0.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,Employment = A + B(i) + B(ii),Technicians & Associate Professionals,364.0,363.0,363.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,A. Malaysian,Clerical Occupations,,,,43.0,43.0,43.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,A. Malaysian,Elementary Occupations,,,,13.0,12.0,12.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,A. Malaysian,Managers,,,,14.0,13.0,12.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,A. Malaysian,Operative Workers,,,,0.0,0.0,0.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,A. Malaysian,Professional,,,,2.0,2.0,2.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,A. Malaysian,TOTAL Malaysian,,,,434.0,432.0,431.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,A. Malaysian,Technicians & Associate Professionals,,,,362.0,362.0,362.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,B(i) Non-Malaysian: Permanent Resident,Clerical Occupations,,,,0.0,0.0,0.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,B(i) Non-Malaysian: Permanent Resident,Elementary Occupations,,,,0.0,0.0,0.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,B(i) Non-Malaysian: Permanent Resident,Managers,,,,0.0,0.0,0.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,B(i) Non-Malaysian: Permanent Resident,Operative Workers,,,,0.0,0.0,0.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,B(i) Non-Malaysian: Permanent Resident,Professional,,,,0.0,0.0,0.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,B(i) Non-Malaysian: Permanent Resident,TOTAL Non-Malaysian: Permanent Resident,,,,0.0,0.0,0.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,B(i) Non-Malaysian: Permanent Resident,Technicians & Associate Professionals,,,,0.0,0.0,0.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,B(ii) Non-Malaysian: Non-Permanent Resident,Clerical Occupations,,,,0.0,0.0,0.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,B(ii) Non-Malaysian: Non-Permanent Resident,Elementary Occupations,,,,0.0,0.0,0.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,B(ii) Non-Malaysian: Non-Permanent Resident,Managers,,,,0.0,0.0,0.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,B(ii) Non-Malaysian: Non-Permanent Resident,Operative Workers,,,,0.0,0.0,0.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,B(ii) Non-Malaysian: Non-Permanent Resident,Professional,,,,0.0,0.0,0.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,B(ii) Non-Malaysian: Non-Permanent Resident,TOTAL Non-Malaysian: Non-Permanent Resident,,,,2.0,1.0,1.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,B(ii) Non-Malaysian: Non-Permanent Resident,Technicians & Associate Professionals,,,,2.0,1.0,1.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,Employment = A + B(i) + B(ii),Clerical Occupations,,,,43.0,43.0,43.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,Employment = A + B(i) + B(ii),Elementary Occupations,,,,13.0,12.0,12.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,Employment = A + B(i) + B(ii),Managers,,,,14.0,13.0,12.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,Employment = A + B(i) + B(ii),Operative Workers,,,,0.0,0.0,0.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,Employment = A + B(i) + B(ii),Professional,,,,2.0,2.0,2.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,Employment = A + B(i) + B(ii),TOTAL Employment,,,,436.0,433.0,432.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,Employment = A + B(i) + B(ii),TOTAL Employment: Of which: Shared Islamic Job Function,,,,0.0,0.0,0.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 2,Employment = A + B(i) + B(ii),Technicians & Associate Professionals,,,,364.0,363.0,363.0,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,A. Malaysian,Clerical Occupations,,,,,,,43.0,43.0,43.0,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,A. Malaysian,Elementary Occupations,,,,,,,13.0,12.0,12.0,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,A. Malaysian,Managers,,,,,,,14.0,13.0,12.0,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,A. Malaysian,Operative Workers,,,,,,,0.0,0.0,0.0,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,A. Malaysian,Professional,,,,,,,2.0,2.0,2.0,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,A. Malaysian,TOTAL Malaysian,,,,,,,434.0,432.0,431.0,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,A. Malaysian,Technicians & Associate Professionals,,,,,,,362.0,362.0,362.0,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,B(i) Non-Malaysian: Permanent Resident,Clerical Occupations,,,,,,,0.0,0.0,0.0,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,B(i) Non-Malaysian: Permanent Resident,Elementary Occupations,,,,,,,0.0,0.0,0.0,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,B(i) Non-Malaysian: Permanent Resident,Managers,,,,,,,0.0,0.0,0.0,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,B(i) Non-Malaysian: Permanent Resident,Operative Workers,,,,,,,0.0,0.0,0.0,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,B(i) Non-Malaysian: Permanent Resident,Professional,,,,,,,0.0,0.0,0.0,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,B(i) Non-Malaysian: Permanent Resident,TOTAL Non-Malaysian: Permanent Resident,,,,,,,0.0,0.0,0.0,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,B(i) Non-Malaysian: Permanent Resident,Technicians & Associate Professionals,,,,,,,0.0,0.0,0.0,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,B(ii) Non-Malaysian: Non-Permanent Resident,Clerical Occupations,,,,,,,0.0,0.0,0.0,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,B(ii) Non-Malaysian: Non-Permanent Resident,Elementary Occupations,,,,,,,0.0,0.0,0.0,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,B(ii) Non-Malaysian: Non-Permanent Resident,Managers,,,,,,,0.0,0.0,0.0,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,B(ii) Non-Malaysian: Non-Permanent Resident,Operative Workers,,,,,,,0.0,0.0,0.0,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,B(ii) Non-Malaysian: Non-Permanent Resident,Professional,,,,,,,0.0,0.0,0.0,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,B(ii) Non-Malaysian: Non-Permanent Resident,TOTAL Non-Malaysian: Non-Permanent Resident,,,,,,,2.0,1.0,1.0,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,B(ii) Non-Malaysian: Non-Permanent Resident,Technicians & Associate Professionals,,,,,,,2.0,1.0,1.0,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,Employment = A + B(i) + B(ii),Clerical Occupations,,,,,,,43.0,43.0,43.0,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,Employment = A + B(i) + B(ii),Elementary Occupations,,,,,,,13.0,12.0,12.0,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,Employment = A + B(i) + B(ii),Managers,,,,,,,14.0,13.0,12.0,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,Employment = A + B(i) + B(ii),Operative Workers,,,,,,,0.0,0.0,0.0,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,Employment = A + B(i) + B(ii),Professional,,,,,,,2.0,2.0,2.0,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,Employment = A + B(i) + B(ii),TOTAL Employment,,,,,,,436.0,433.0,432.0,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,Employment = A + B(i) + B(ii),TOTAL Employment: Of which: Shared Islamic Job Function,,,,,,,0.0,0.0,0.0,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 3,Employment = A + B(i) + B(ii),Technicians & Associate Professionals,,,,,,,364.0,363.0,363.0,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,A. Malaysian,Clerical Occupations,14.0,14.0,12.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,A. Malaysian,Elementary Occupations,5.0,5.0,5.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,A. Malaysian,Managers,80.0,80.0,83.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,A. Malaysian,Operative Workers,0.0,0.0,0.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,A. Malaysian,Professional,134.0,137.0,137.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,A. Malaysian,TOTAL Malaysian,312.0,315.0,314.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,A. Malaysian,Technicians & Associate Professionals,79.0,79.0,77.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,B(i) Non-Malaysian: Permanent Resident,Clerical Occupations,0.0,0.0,0.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,B(i) Non-Malaysian: Permanent Resident,Elementary Occupations,0.0,0.0,0.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,B(i) Non-Malaysian: Permanent Resident,Managers,0.0,0.0,0.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,B(i) Non-Malaysian: Permanent Resident,Operative Workers,0.0,0.0,0.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,B(i) Non-Malaysian: Permanent Resident,Professional,0.0,0.0,0.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,B(i) Non-Malaysian: Permanent Resident,TOTAL Non-Malaysian: Permanent Resident,0.0,0.0,0.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,B(i) Non-Malaysian: Permanent Resident,Technicians & Associate Professionals,0.0,0.0,0.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,B(ii) Non-Malaysian: Non-Permanent Resident,Clerical Occupations,0.0,0.0,0.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,B(ii) Non-Malaysian: Non-Permanent Resident,Elementary Occupations,0.0,0.0,0.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,B(ii) Non-Malaysian: Non-Permanent Resident,Managers,0.0,0.0,0.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,B(ii) Non-Malaysian: Non-Permanent Resident,Operative Workers,0.0,0.0,0.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,B(ii) Non-Malaysian: Non-Permanent Resident,Professional,0.0,0.0,0.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,B(ii) Non-Malaysian: Non-Permanent Resident,TOTAL Non-Malaysian: Non-Permanent Resident,0.0,0.0,0.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,B(ii) Non-Malaysian: Non-Permanent Resident,Technicians & Associate Professionals,0.0,0.0,0.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,Employment = A + B(i) + B(ii),Clerical Occupations,14.0,14.0,12.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,Employment = A + B(i) + B(ii),Elementary Occupations,5.0,5.0,5.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,Employment = A + B(i) + B(ii),Managers,80.0,80.0,83.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,Employment = A + B(i) + B(ii),Operative Workers,0.0,0.0,0.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,Employment = A + B(i) + B(ii),Professional,134.0,137.0,137.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,Employment = A + B(i) + B(ii),TOTAL Employment,312.0,315.0,314.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,Employment = A + B(i) + B(ii),TOTAL Employment: Of which: Shared Islamic Job Function,0.0,0.0,0.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 1,Employment = A + B(i) + B(ii),Technicians & Associate Professionals,79.0,79.0,77.0,,,,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 2,A. Malaysian,Clerical Occupations,,,,14.0,14.0,12.0,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 2,A. Malaysian,Elementary Occupations,,,,5.0,5.0,5.0,,,,,,
AMINVESTMENT BANK BERHAD,2025,Quarter 2,A. Malaysian,Managers,,,,80.0,80.0,83.0,,,,,,
